Order ID,Cust ID,Gender,Age,Age-Group,Month,Status,Channel ,Category,Size,Qty,Amount,ship-city,ship-state
403-1785530-0119510,1785530,Women,34,Senior,Dec,Delivered,Others,Kurta,XL,1,688,CHENNAI,TAMIL NADU
403-0824767-1871567,824767,Women,20,Teen,Dec,Delivered,Amazon,Kurta,L,1,399,BANGALORE,KARNATAKA
404-8169153-4411563,8169153,Women,44,Senior,Dec,Cancelled,Myntra,Kurta,XL,1,399,KALYAN,MAHARASHTRA
406-5169174-3536336,5169174,Women,24,Teen,Dec,Delivered,Myntra,Top,S,1,563,AHMEDABAD,GUJARAT
402-2130722-4734768,2130722,Women,31,Senior,Dec,Delivered,Amazon,Kurta,XL,1,363,KOLKATA,WEST BENGAL
404-8399604-8880365,8399604,Men,75,Adult,Dec,Delivered,Myntra,Set,S,1,667,BOKARO STEEL CITY,JHARKHAND
403-8213196-3804353,8213196,Women,46,Senior,Dec,Delivered,Myntra,Saree,Free,1,685,PANCHKULA,HARYANA
408-3286680-0659521,3286680,Men,48,Senior,Dec,Delivered,Myntra,Set,S,1,852,PUNE,MAHARASHTRA
403-6014983-8111514,6014983,Women,26,Teen,Dec,Delivered,Amazon,Saree,Free,1,1075,PATNA,BIHAR
403-6950860-5590722,6950860,Women,36,Senior,Dec,Delivered,Myntra,Kurta,XXL,1,563,NEW DELHI,DELHI
406-7030051-2742704,7030051,Men,23,Teen,Dec,Delivered,Flipkart,Set,XXL,1,1072,KALYAN,MAHARASHTRA
404-6041386-2803516,6041386,Men,32,Senior,Dec,Delivered,Amazon,Set,XS,1,702,BENGALURU,KARNATAKA
404-7958450-6860328,7958450,Women,26,Teen,Dec,Delivered,Nalli,Saree,Free,1,476,NAVI MUMBAI,MAHARASHTRA
408-7814128-2203552,7814128,Men,45,Senior,Dec,Delivered,Myntra,Set,XL,1,597,BENGALURU,KARNATAKA
403-9793483-6877106,9793483,Women,49,Senior,Dec,Delivered,Flipkart,Set,XL,1,969,VARKALA,KERALA
402-5297818-3665137,5297818,Women,21,Teen,Dec,Delivered,Flipkart,Set,XS,1,801,BIKANER,RAJASTHAN
171-2070545-3786767,2070545,Women,39,Senior,Dec,Delivered,Myntra,Kurta,XL,1,481,GURUGRAM,HARYANA
406-1756314-4546723,1756314,Men,55,Adult,Dec,Delivered,Ajio,Set,M,1,595,BHARUCH,GUJARAT
404-8786932-9447520,8786932,Women,30,Senior,Dec,Delivered,Flipkart,Kurta,XXL,1,458,MUMBAI,MAHARASHTRA
408-8573929-1921943,8573929,Women,46,Senior,Dec,Delivered,Amazon,Kurta,M,1,729,KOLKATA,WEST BENGAL
408-8573929-1921943,8573929,Women,59,Adult,Dec,Cancelled,Myntra,Kurta,M,1,345,NOIDA,UTTAR PRADESH
407-8980704-1408352,8980704,Women,55,Adult,Dec,Delivered,Flipkart,Kurta,M,1,481,CHENNAI,TAMIL NADU
171-2516658-6849136,2516658,Women,37,Senior,Dec,Refunded,Amazon,Kurta,S,1,382,BHANDARA,MAHARASHTRA
404-0105497-2446747,105497,Men,19,Teen,Dec,Delivered,Amazon,Set,XS,1,1036,MUMBAI,MAHARASHTRA
406-6468339-1490707,6468339,Women,49,Senior,Dec,Returned,Myntra,Kurta,S,1,322,NEW DELHI,DELHI
402-6702100-7257107,6702100,Women,33,Senior,Dec,Delivered,Amazon,Kurta,L,1,449,BHATKAL,KARNATAKA
404-6243782-8199521,6243782,Men,22,Teen,Dec,Delivered,Amazon,Set,L,1,573,MUMBAI,MAHARASHTRA
403-3641651-0348348,3641651,Women,18,Teen,Dec,Delivered,Myntra,Set,S,1,1163,RANCHI,JHARKHAND
402-7662369-2719545,7662369,Women,32,Senior,Dec,Delivered,Flipkart,Set,L,1,737,HYDERABAD,TELANGANA
403-8575376-3341124,8575376,Women,48,Senior,Dec,Delivered,Flipkart,Set,L,1,429,CHENNAI,TAMIL NADU
403-7384618-1017125,7384618,Women,36,Senior,Dec,Delivered,Myntra,Kurta,XL,1,471,VISAKHAPATNAM,ANDHRA PRADESH
403-7384618-1017125,7384618,Women,20,Teen,Dec,Delivered,Amazon,Saree,Free,1,307,PERAMBRA,KERALA
403-3542194-2527546,3542194,Women,48,Senior,Dec,Delivered,Meesho,Kurta,M,1,631,GURUGRAM,HARYANA
405-6859790-7125127,6859790,Women,66,Adult,Dec,Delivered,Amazon,Kurta,M,1,517,HYDERABAD,TELANGANA
403-0347306-1283554,347306,Women,60,Adult,Dec,Delivered,Myntra,Kurta,S,1,427,HAMIRPUR,HIMACHAL PRADESH
406-7048232-6973930,7048232,Men,47,Senior,Dec,Delivered,Others,Western,S,1,855,NAYAGARH,ODISHA
404-5516090-4385135,5516090,Women,19,Teen,Dec,Delivered,Flipkart,Kurta,XXL,1,376,BENGALURU,KARNATAKA
403-0294848-6612317,294848,Men,48,Senior,Dec,Delivered,Amazon,Kurta,L,1,487,BENGALURU,KARNATAKA
408-6522716-9753142,6522716,Men,78,Adult,Dec,Delivered,Myntra,Set,M,1,852,NEW DELHI,DELHI
408-6522716-9753142,6522716,Women,40,Senior,Dec,Delivered,Amazon,Kurta,XXL,1,771,TIRUCHIRAPPALLI,TAMIL NADU
408-3094141-6564325,3094141,Women,38,Senior,Dec,Delivered,Flipkart,Kurta,M,1,487,PUDUVAYAL,TAMIL NADU
405-8966819-1579535,8966819,Women,21,Teen,Dec,Delivered,Amazon,Kurta,XL,1,472,HYDERABAD,TELANGANA
404-2716293-0209115,2716293,Women,38,Senior,Dec,Delivered,Amazon,Saree,Free,1,790,UDAIPUR,RAJASTHAN
403-9848998-6793100,9848998,Women,25,Teen,Dec,Delivered,Amazon,Kurta,XS,1,517,PUDUCHERRY,PUDUCHERRY
171-6592212-4665122,6592212,Women,35,Senior,Dec,Delivered,Flipkart,Set,XL,1,646,GREATER NOIDA,UTTAR PRADESH
404-5467416-2849910,5467416,Women,23,Teen,Dec,Delivered,Amazon,Western,XL,1,743,SECUNDERABAD,TELANGANA
408-1265802-4542716,1265802,Women,61,Adult,Dec,Delivered,Myntra,Kurta,XXL,1,399,NEW DELHI,DELHI
171-9585512-1214755,9585512,Women,40,Senior,Dec,Delivered,Flipkart,Set,M,1,852,GREATER NOIDA,UTTAR PRADESH
405-6513430-0509918,6513430,Men,32,Senior,Dec,Delivered,Flipkart,Set,M,1,759,MYSURU,KARNATAKA
406-7694216-8034754,7694216,Women,31,Senior,Dec,Delivered,Nalli,Top,XL,1,493,NEW DELHI,DELHI
408-5911668-5550717,5911668,Women,29,Teen,Dec,Delivered,Amazon,Kurta,XXL,1,458,JAIPUR,RAJASTHAN
404-5364170-6523532,5364170,Women,27,Teen,Dec,Delivered,Amazon,Kurta,M,1,435,BIDAR,KARNATAKA
405-3614770-5449966,3614770,Women,48,Senior,Dec,Delivered,Amazon,Set,XS,1,759,BABUGARH,UTTAR PRADESH
404-1246579-1197122,1246579,Men,30,Senior,Dec,Cancelled,Myntra,Set,L,1,1043,THANE,MAHARASHTRA
406-6695683-9996343,6695683,Men,71,Adult,Dec,Delivered,Myntra,Set,M,1,698,UDAIPUR,RAJASTHAN
404-1994186-3865941,1994186,Women,41,Senior,Dec,Delivered,Flipkart,Top,S,1,518,DOHAD,GUJARAT
404-0172471-1609129,172471,Men,28,Teen,Dec,Delivered,Myntra,Western,XXL,1,625,BARASAT,WEST BENGAL
406-0681598-4591519,681598,Women,19,Teen,Dec,Delivered,Flipkart,Kurta,XL,1,499,INDORE,MADHYA PRADESH
407-1388772-0703516,1388772,Women,25,Teen,Dec,Delivered,Myntra,Top,XS,1,321,MUMBAI,MAHARASHTRA
408-3131740-5067529,3131740,Women,57,Adult,Dec,Delivered,Nalli,Set,XS,1,845,NAGAUR,RAJASTHAN
402-5496750-0331528,5496750,Women,73,Adult,Dec,Delivered,Amazon,Kurta,XS,1,358,NEW DELHI,DELHI
402-5496750-0331528,5496750,Women,50,Adult,Dec,Delivered,Flipkart,Kurta,XL,1,307,COIMBATORE,TAMIL NADU
403-0816846-6852364,816846,Women,31,Senior,Dec,Delivered,Ajio,Kurta,XL,1,692,NAVI MUMBAI,MAHARASHTRA
408-0278400-0572330,278400,Men,33,Senior,Dec,Delivered,Ajio,Set,XS,1,1099,NEW DELHI,DELHI
403-8079606-6799503,8079606,Women,31,Senior,Dec,Delivered,Myntra,Set,M,1,1033,BARASAT,WEST BENGAL
171-4636514-5082740,4636514,Women,44,Senior,Dec,Delivered,Myntra,Kurta,XS,1,301,COIMBATORE,TAMIL NADU
406-9847734-4402766,9847734,Women,26,Teen,Dec,Delivered,Myntra,Top,L,1,625,RANCHI,JHARKHAND
403-8860022-0290733,8860022,Women,25,Teen,Dec,Delivered,Myntra,Kurta,M,1,435,SANGAREDDY,TELANGANA
408-1669205-3638714,1669205,Women,49,Senior,Dec,Delivered,Amazon,Kurta,XL,1,307,PUNE,MAHARASHTRA
406-6737238-3993139,6737238,Men,59,Adult,Dec,Delivered,Amazon,Set,L,1,788,BUXAR,BIHAR
402-9605076-2885164,9605076,Women,21,Teen,Dec,Delivered,Amazon,Set,M,1,999,KANJIKODE INDUSTRIAL AREA,KERALA
406-9542566-5579564,9542566,Women,31,Senior,Dec,Delivered,Amazon,Kurta,XS,1,852,HYDERABAD,TELANGANA
408-1540604-8952365,1540604,Women,34,Senior,Dec,Delivered,Amazon,Set,M,1,999,ALLAHABAD,UTTAR PRADESH
405-9367631-7902714,9367631,Men,72,Adult,Dec,Delivered,Amazon,Set,M,1,1075,DIU,DADRA AND NAGAR
403-0595996-9383507,595996,Men,22,Teen,Dec,Delivered,Amazon,Set,S,1,845,PATNA,BIHAR
407-8256896-7645127,8256896,Men,35,Senior,Dec,Delivered,Myntra,Set,S,1,664,YACHARAM,TELANGANA
407-1064158-5677135,1064158,Women,31,Senior,Dec,Delivered,Flipkart,Set,M,1,1186,KANNUR,KERALA
407-2727693-8699567,2727693,Men,34,Senior,Dec,Returned,Meesho,Set,XXL,1,1258,PORT BLAIR,ANDAMAN & NICOBAR 
171-6844452-3288337,6844452,Women,46,Senior,Dec,Refunded,Amazon,Kurta,XXL,1,399,MUZAFFARNAGAR,UTTAR PRADESH
171-6908439-1987505,6908439,Men,63,Adult,Dec,Delivered,Amazon,Western,M,1,771,MANMAD,MAHARASHTRA
406-9626742-4153157,9626742,Women,33,Senior,Dec,Delivered,Amazon,Kurta,XXL,1,459,SURYAPET,TELANGANA
403-9383537-0791567,9383537,Women,58,Adult,Dec,Delivered,Amazon,Kurta,L,1,468,BENGALURU,KARNATAKA
403-6048785-9857964,6048785,Women,27,Teen,Dec,Delivered,Flipkart,Kurta,L,1,475,PIMPRI CHINCHWAD,MAHARASHTRA
402-1040945-8225167,1040945,Men,24,Teen,Dec,Delivered,Flipkart,Set,M,1,967,KOLLAM,KERALA
171-8224545-5941925,8224545,Men,45,Senior,Dec,Delivered,Flipkart,Western,L,1,614,BENGALURU,KARNATAKA
405-8391201-0161964,8391201,Women,22,Teen,Dec,Delivered,Amazon,Set,L,1,788,VADODARA,GUJARAT
406-2036568-3507558,2036568,Women,42,Senior,Dec,Returned,Nalli,Set,XS,1,1173,BENGALURU,KARNATAKA
407-0131231-1980322,131231,Women,18,Teen,Dec,Returned,Amazon,Top,M,1,359,LUCKNOW,UTTAR PRADESH
407-0131231-1980322,131231,Women,55,Adult,Dec,Delivered,Nalli,Top,S,1,625,SECUNDERABAD,TELANGANA
402-5387048-4695525,5387048,Women,25,Teen,Dec,Returned,Amazon,Set,S,1,1238,JAIPUR,RAJASTHAN
402-4700322-7377926,4700322,Men,30,Senior,Dec,Delivered,Amazon,Set,XXL,1,927,LUCKNOW,UTTAR PRADESH
405-4774074-9942741,4774074,Women,46,Senior,Dec,Delivered,Amazon,Kurta,XL,1,424,GURUGRAM,HARYANA
408-4236224-6705913,4236224,Men,27,Teen,Dec,Delivered,Myntra,Western,L,1,825,BENGALURU,KARNATAKA
402-9698056-3215551,9698056,Women,46,Senior,Dec,Returned,Amazon,Set,L,1,545,BENGALURU,KARNATAKA
404-1092399-0229128,1092399,Men,20,Teen,Dec,Delivered,Amazon,Set,XL,1,729,PUNE,MAHARASHTRA
408-1867708-9856317,1867708,Women,26,Teen,Dec,Returned,Myntra,Top,S,1,497,ERNAKULAM,KERALA
402-7163849-6357160,7163849,Men,49,Senior,Dec,Delivered,Myntra,Western,M,1,625,MUMBAI,MAHARASHTRA
408-7372776-3077164,7372776,Women,32,Senior,Dec,Delivered,Myntra,Kurta,S,1,319,HARIDWAR,UTTARAKHAND
405-7757271-3277914,7757271,Women,34,Senior,Dec,Delivered,Myntra,Saree,Free,1,729,MAHNAR BAZAR,BIHAR
407-6304030-7294757,6304030,Women,28,Teen,Dec,Delivered,Flipkart,Saree,Free,1,365,LALITPUR,UTTAR PRADESH
407-6304030-7294757,6304030,Women,36,Senior,Dec,Delivered,Ajio,Blouse,XXL,1,563,BELAGAVI,KARNATAKA
408-7790665-4334734,7790665,Women,73,Adult,Dec,Delivered,Others,Kurta,L,1,399,NEW DELHI,DELHI
407-5595686-6100341,5595686,Women,56,Adult,Dec,Delivered,Flipkart,Set,S,1,899,HYDERABAD,TELANGANA
405-8251665-3225166,8251665,Men,73,Adult,Dec,Delivered,Meesho,Set,XS,1,525,BENGALURU,KARNATAKA
171-7054852-3448331,7054852,Women,18,Teen,Dec,Delivered,Amazon,Kurta,XL,1,323,CHENNAI,TAMIL NADU
403-1132538-4037168,1132538,Women,48,Senior,Dec,Delivered,Ajio,Set,L,1,1137,AHMEDABAD,GUJARAT
402-2642921-6231538,2642921,Women,28,Teen,Dec,Delivered,Amazon,Kurta,XXL,1,582,SECUNDERABAD,TELANGANA
406-6293095-0239521,6293095,Men,74,Adult,Dec,Delivered,Others,Set,XL,1,1083,MOHALI,PUNJAB
402-2438137-5393935,2438137,Men,40,Senior,Dec,Delivered,Flipkart,Set,S,1,696,PUNE,MAHARASHTRA
407-6539984-2399543,6539984,Men,71,Adult,Dec,Delivered,Myntra,Western,XXL,1,842,HYDERABAD,TELANGANA
403-4740407-5307521,4740407,Men,22,Teen,Dec,Delivered,Myntra,Set,XXL,1,1229,KANPUR,UTTAR PRADESH
408-9159866-0466729,9159866,Women,18,Teen,Dec,Cancelled,Myntra,Set,XL,1,698,HYDERABAD,TELANGANA
403-1619866-3571523,1619866,Women,48,Senior,Dec,Delivered,Myntra,Kurta,XL,1,435,MEERUT,UTTAR PRADESH
406-6502399-8558757,6502399,Men,24,Teen,Dec,Delivered,Nalli,Set,L,1,1442,COIMBATORE,TAMIL NADU
408-7238770-6140358,7238770,Men,41,Senior,Dec,Delivered,Others,Western,XL,1,899,HYDERABAD,TELANGANA
407-1376871-0295557,1376871,Men,53,Adult,Dec,Delivered,Myntra,Set,L,1,597,UDAIPUR,RAJASTHAN
408-8257154-7073948,8257154,Men,29,Teen,Dec,Delivered,Flipkart,Ethnic Dress,S,1,362,KOLKATA,WEST BENGAL
404-4145340-2637920,4145340,Women,37,Senior,Dec,Delivered,Amazon,Kurta,XL,1,453,HYDERABAD,TELANGANA
405-9073647-9045956,9073647,Women,73,Adult,Dec,Delivered,Myntra,Set,XXL,1,1299,MUMBAI,MAHARASHTRA
408-8882909-7090727,8882909,Men,42,Senior,Dec,Delivered,Others,Set,XL,1,969,DIBRUGARH,ASSAM
405-9353236-5655530,9353236,Women,33,Senior,Dec,Delivered,Flipkart,Kurta,XL,1,558,NUZVID,ANDHRA PRADESH
404-8519920-6090711,8519920,Women,29,Teen,Dec,Delivered,Myntra,Kurta,XL,1,545,KOLHAPUR,MAHARASHTRA
408-9860710-2994745,9860710,Women,39,Senior,Dec,Delivered,Flipkart,Kurta,L,1,561,CHENNAI,TAMIL NADU
407-9474390-3484334,9474390,Men,42,Senior,Dec,Delivered,Myntra,Western,XL,1,735,HYDERABAD,TELANGANA
407-5085571-9113956,5085571,Women,59,Adult,Dec,Delivered,Myntra,Kurta,XS,1,446,KOZHIKODE,KERALA
405-9457709-1221161,9457709,Men,46,Senior,Dec,Delivered,Amazon,Set,XL,1,882,JAIPUR,RAJASTHAN
171-2746120-7458740,2746120,Women,48,Senior,Dec,Delivered,Flipkart,Set,XXL,1,1163,MUMBAI,MAHARASHTRA
403-1878389-1237106,1878389,Men,33,Senior,Dec,Delivered,Others,Set,XXL,1,1125,KOLKATA,WEST BENGAL
403-0476685-3465137,476685,Women,22,Teen,Dec,Delivered,Amazon,Top,L,1,690,NEW DELHI,DELHI
403-0476685-3465137,476685,Women,23,Teen,Dec,Delivered,Flipkart,Set,XL,1,495,AURANGABAD,MAHARASHTRA
171-1845045-0161128,1845045,Women,42,Senior,Dec,Delivered,Flipkart,Kurta,XL,1,422,HYDERABAD,TELANGANA
404-9933073-6187548,9933073,Women,38,Senior,Dec,Delivered,Amazon,Kurta,L,1,399,CHHAPI,GUJARAT
404-5497347-2324338,5497347,Women,39,Senior,Dec,Delivered,Myntra,Kurta,XXL,1,399,ADILABAD,TELANGANA
408-7912532-3769108,7912532,Women,50,Adult,Dec,Delivered,Myntra,Set,XS,1,969,HYDERABAD,TELANGANA
171-9766258-8979520,9766258,Men,31,Senior,Dec,Delivered,Flipkart,Set,M,1,499,NOIDA,UTTAR PRADESH
406-1473140-7914743,1473140,Women,33,Senior,Dec,Delivered,Ajio,Kurta,XL,1,692,LUCKNOW,UTTAR PRADESH
403-0524091-8412339,524091,Women,23,Teen,Dec,Delivered,Myntra,Top,XXL,1,464,NOIDA,UTTAR PRADESH
402-6280655-6962731,6280655,Men,57,Adult,Dec,Delivered,Meesho,Set,S,1,525,TUNI,ANDHRA PRADESH
405-1920070-1571501,1920070,Women,35,Senior,Dec,Delivered,Meesho,Set,L,1,788,SOLAPUR,MAHARASHTRA
406-2265901-9858750,2265901,Women,29,Teen,Dec,Returned,Myntra,Set,M,1,1268,HYDERABAD,TELANGANA
406-0476593-3693958,476593,Women,69,Adult,Dec,Delivered,Flipkart,Set,XL,1,635,GWALIOR,MADHYA PRADESH
406-0476593-3693958,476593,Women,49,Senior,Dec,Delivered,Meesho,Kurta,L,1,342,HYDERABAD,TELANGANA
171-8490583-2352307,8490583,Women,31,Senior,Dec,Delivered,Myntra,Saree,Free,1,630,CHENNAI,TAMIL NADU
404-5716384-0233143,5716384,Women,38,Senior,Dec,Delivered,Amazon,Top,M,1,574,SINGTAM,SIKKIM
404-5226206-1753945,5226206,Men,46,Senior,Dec,Delivered,Flipkart,Set,S,1,635,KOTTAYAM,KERALA
405-3951365-4622755,3951365,Women,46,Senior,Dec,Delivered,Myntra,Set,S,1,579,VASCO DA GAMA,GOA
403-2485702-8968337,2485702,Men,68,Adult,Dec,Delivered,Myntra,Kurta,XS,1,417,ITANAGAR,ARUNACHAL PRADESH
404-5716802-5805922,5716802,Women,20,Teen,Dec,Delivered,Amazon,Set,XL,1,655,ROORKEE,UTTARAKHAND
408-8120045-5093125,8120045,Women,57,Adult,Dec,Delivered,Ajio,Set,M,1,688,GURUGRAM,HARYANA
408-7328394-2683533,7328394,Men,21,Teen,Dec,Cancelled,Myntra,Top,XS,1,568,HYDERABAD,TELANGANA
406-6875530-0340315,6875530,Men,29,Teen,Dec,Delivered,Amazon,Saree,Free,1,1176,BENGALURU,KARNATAKA
171-3453298-1736319,3453298,Women,49,Senior,Dec,Delivered,Nalli,Set,XL,1,635,AJMER,RAJASTHAN
406-6898340-9370767,6898340,Women,68,Adult,Dec,Delivered,Others,Kurta,XL,1,568,MUMBAI,MAHARASHTRA
171-9867216-3827533,9867216,Women,31,Senior,Dec,Delivered,Others,Set,M,1,1186,HYDERABAD,TELANGANA
407-5042032-5902761,5042032,Women,19,Teen,Dec,Delivered,Myntra,Set,XL,1,1098,BENGALURU,KARNATAKA
402-0063406-6968362,63406,Men,30,Senior,Dec,Delivered,Others,Set,XL,1,692,BENGALURU,KARNATAKA
404-8307667-6071518,8307667,Women,26,Teen,Dec,Delivered,Others,Kurta,XL,1,1043,KALYAN,MAHARASHTRA
